"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"99"	105.449997	105.980003	103.57	103.949997	74.563416	6926300
"100"	103.900002	105.43	103.849998	105.18	75.445656	6123000
"101"	105.57	106.629997	105.300003	105.910004	75.969322	5420300
"102"	105.400002	107.099998	105.209999	106.93	76.700951	7401000
"103"	107.260002	107.669998	106	106.599998	76.464241	5097700
"104"	106.620003	107.239998	106.019997	106.540001	76.421196	5289200
"105"	106.5	106.589996	105.580002	106.230003	76.198814	4569900
"106"	106.550003	106.550003	105.540001	105.839996	75.919067	5244200
"107"	105.5	105.510002	102.389999	102.410004	73.458748	30770700
"108"	102.459999	103.169998	101.559998	101.800003	73.02121	14384600
"109"	101.800003	103.209999	101.75	103.07	73.932152	8216300
"110"	102.870003	104	102.5	103.220001	74.039764	7903100
"111"	103.110001	103.18	102.150002	102.339996	73.408539	5578400
"112"	102.849998	103.260002	102.099998	103.120003	73.968056	6437600
"113"	103.099998	104.239998	102.809998	103.849998	74.491661	5165600
"114"	104.220001	105.190002	103.879997	105.089996	75.381134	9432300
"115"	105.269997	105.650002	104.889999	105.330002	75.553284	6359200
"116"	104.93	106.660004	104.900002	106.5	76.392502	5754000
"117"	106.5	107.019997	105.949997	106	76.033875	6541500
"118"	105.769997	107	105.610001	106.599998	76.464241	5587800
"119"	105.959999	106.440002	104.440002	104.440002	74.914856	10808500
"120"	104.730003	105.769997	104.5	105.099998	75.388268	8476400
"121"	105.099998	106.059998	104.82	105.330002	75.553284	5229600
"122"	104.75	105.470001	104.400002	105.43	75.624985	5403800
"123"	105.519997	106.919998	105.220001	105.949997	75.997993	5430900
"124"	105.959999	106.580002	104.099998	105.25	75.495888	7018400
"125"	105.389999	105.800003	104.580002	105.010002	75.323738	4701300
"126"	105.5	107.080002	105.239998	106.580002	76.44989	4217900
"127"	106.309998	108.389999	105.980003	108.050003	77.504318	6670900
"128"	107.790001	109.660004	107.660004	109.029999	78.207283	8977200
"129"	108.730003	109.349998	108.199997	108.970001	78.164238	6046300
"130"	108.550003	109.150002	108.25	108.629997	77.920372	6209300
"131"	108.300003	109.599998	108.25	109.099998	78.257492	5887800
"132"	109.349998	109.650002	108.220001	109.279999	78.386597	9544100
"133"	108.75	109.199997	108.099998	108.599998	77.898834	7124100
"134"	108.57	110.040001	108.419998	109.660004	78.659195	8864200
"135"	109.660004	111.470001	109.449997	110.769997	79.455376	7619900
"136"	110.25	111.879997	110.040001	111.080002	79.677727	10154100
"137"	115	116.480003	114.650002	115.860001	83.106438	17281600
"138"	114.849998	115.860001	113.940002	114.809998	82.353302	11706300
